Hour,droughts_tweets,droughts_spike,heatwaves_tweets,heatwaves_spike,floods_tweets,floods_spike
2009-08-10 03,1.0,0.0,,,,
2009-08-10 11,1.0,0.0,,,,
2009-08-10 13,1.0,0.0,,,,
2009-08-10 14,4.0,1.0,1.0,0.0,,
2009-08-10 15,3.0,0.0,,,1.0,0.0
2009-08-10 19,1.0,0.0,,,1.0,0.0
2009-08-11 11,2.0,0.0,,,2.0,0.0
2009-08-11 13,3.0,0.0,,,,
2009-08-11 21,1.0,0.0,,,,
2009-08-12 04,1.0,0.0,,,,
2009-08-12 15,1.0,0.0,,,2.0,0.0
2009-08-13 07,1.0,0.0,,,1.0,0.0
2009-08-13 11,1.0,0.0,,,,
2009-08-13 13,3.0,0.0,,,1.0,0.0
2009-08-13 14,1.0,0.0,,,,
2009-08-13 22,1.0,0.0,2.0,1.0,1.0,0.0
2009-08-15 12,1.0,0.0,,,,
2009-08-15 19,1.0,0.0,,,,
2009-08-16 05,1.0,0.0,1.0,0.0,1.0,0.0
2009-08-16 09,1.0,0.0,,,,
2009-08-16 23,1.0,0.0,,,,
2009-08-17 12,7.0,1.0,1.0,0.0,,
2009-08-17 17,3.0,0.0,,,,
2009-08-17 18,1.0,0.0,,,,
2009-08-18 00,2.0,0.0,,,1.0,0.0
2009-08-18 01,1.0,0.0,2.0,0.0,,
2009-08-18 09,1.0,0.0,,,,
2009-08-18 11,1.0,0.0,,,,
2009-08-18 12,1.0,0.0,,,,
2009-08-18 13,4.0,0.0,,,,
2009-08-18 14,1.0,0.0,1.0,0.0,,
2009-08-18 20,2.0,0.0,,,,
2009-08-19 12,4.0,0.0,,,,
2009-08-19 13,13.0,1.0,,,,
2009-08-19 14,1.0,0.0,,,,
2009-08-19 18,1.0,0.0,,,,
2009-08-19 22,1.0,0.0,,,1.0,0.0
2009-08-20 05,2.0,0.0,,,,
2009-08-20 12,1.0,0.0,1.0,0.0,,
2009-08-20 13,4.0,0.0,1.0,0.0,1.0,0.0
2009-08-21 00,6.0,0.0,1.0,0.0,,
2009-08-21 01,4.0,0.0,,,,
2009-08-21 09,1.0,0.0,,,,
2009-08-22 05,1.0,0.0,,,1.0,0.0
2009-08-22 13,8.0,0.0,,,,
2009-08-22 14,3.0,0.0,,,,
2009-08-22 15,2.0,0.0,,,,
2009-08-22 20,1.0,0.0,,,,
2009-08-22 22,1.0,0.0,,,,
2009-08-23 07,2.0,0.0,,,,
2009-08-23 11,1.0,0.0,,,,
2009-08-23 13,1.0,0.0,,,,
2009-08-24 04,1.0,0.0,,,,
2009-08-24 13,1.0,0.0,,,7.0,1.0
2009-08-24 22,1.0,0.0,,,,
2009-08-25 16,1.0,0.0,,,1.0,0.0
2009-08-26 06,2.0,0.0,5.0,1.0,,
2009-08-26 10,1.0,0.0,2.0,0.0,3.0,0.0
2009-08-26 11,1.0,0.0,,,2.0,0.0
2009-08-26 12,2.0,0.0,,,2.0,0.0
2009-08-26 20,1.0,0.0,,,,
2009-08-27 06,1.0,0.0,1.0,0.0,,
2009-08-28 08,1.0,0.0,,,,
2009-08-28 14,1.0,0.0,1.0,0.0,,
2009-08-28 23,1.0,0.0,,,,
2009-08-29 06,1.0,0.0,,,,
